scene,method,budget,seed,miou_selected,f1_selected,miou_query,f1_query
Instance_1/Meeting_room,nbv,5,0,0.5184449553489685,0.6774285435676575,0.5212961435317993,0.6808313131332397
Instance_1/Meeting_room,random,5,0,0.49676942825317383,0.6602079272270203,0.44004425406455994,0.6045515537261963
Instance_1/Meeting_room,random,5,1,0.5058161616325378,0.6696075201034546,0.4957934319972992,0.6577918529510498
Instance_1/Playground,all,25,0,0.38767486810684204,0.5422364473342896,0.35915982723236084,0.5153425931930542
Instance_1/Playground,uniform,3,0,0.5036864876747131,0.6522989273071289,0.3962192237377167,0.5549400448799133
Instance_1/Playground,nbv,3,0,0.5432475805282593,0.6937338709831238,0.3953477144241333,0.550916850566864
Instance_1/Playground,random,3,0,0.40980347990989685,0.5653018355369568,0.2767592966556549,0.4052049219608307
Instance_1/Playground,random,3,1,0.2533874809741974,0.4020595848560333,0.19584472477436066,0.32415932416915894
Instance_1/Playground,uniform,5,0,0.49934983253479004,0.6570330858230591,0.42595669627189636,0.5828135013580322
Instance_1/Playground,nbv,5,0,0.4257773756980896,0.5747019052505493,0.42411530017852783,0.5818610191345215
Instance_1/Playground,random,5,0,0.3502882719039917,0.5029721260070801,0.36444756388664246,0.5204090476036072
Instance_1/Playground,random,5,1,0.29476889967918396,0.43665480613708496,0.3286571502685547,0.4802105724811554
Instance_1/Porch,all,25,0,0.5684969425201416,0.7166253924369812,0.6040124297142029,0.7454534769058228
Instance_1/Porch,uniform,3,0,0.5628572106361389,0.7173879742622375,0.3766070604324341,0.5254984498023987
Instance_1/Porch,nbv,3,0,0.4906677305698395,0.6500985622406006,0.26454100012779236,0.39487209916114807
Instance_1/Porch,random,3,0,0.5476338267326355,0.6900585293769836,0.5072381496429443,0.6612930297851562
Instance_1/Porch,random,3,1,0.4953496754169464,0.6543808579444885,0.37952473759651184,0.5386613607406616
Instance_1/Porch,uniform,5,0,0.5377227067947388,0.6939257383346558,0.4507150948047638,0.6090352535247803
Instance_1/Porch,nbv,5,0,0.3934093117713928,0.5487082600593567,0.318604052066803,0.46684691309928894
