scene,phase,combo,miou_query,f1_query
Pots,local3,5-6-7-11-24,0.621994,0.763576
Printing_area,local3,0-12-15-17-20,0.600138,0.738110
Lunch_room,local3,2-5-16-21-22,0.386418,0.535748
Lounge,local3,3-9-17-19-24,0.518883,0.681425
Cantina,local3,5-8-13-15-16,0.506921,0.663649
Meeting_room,local3,4-12-16-19-20,0.510302,0.668112
Porch,local3,9-12-17-18-23,0.577215,0.712292
Garden,local3,1-5-7-14-18,0.545035,0.705297
Pots,local3,9-10-11-21-22,0.644587,0.781120
Printing_area,local3,12-14-15-20-24,0.641935,0.769386
Lunch_room,local3,2-5-18-19-23,0.374580,0.527709
Lounge,local3,0-3-8-21-24,0.573634,0.728617
Meeting_room,local3,0-12-16-20-23,0.512296,0.674693
Cantina,local3,12-13-15-22-24,0.500243,0.652360
Porch,local3,0-3-5-19-22,0.457065,0.622969
Garden,local3,1-5-7-14-17,0.539894,0.700930
Pots,local3,2-7-15-19-21,0.614094,0.757535
Printing_area,local3,0-1-8-10-24,0.553583,0.704570
Lounge,local3,0-3-13-23-24,0.589043,0.740936
Meeting_room,local3,6-12-16-19-20,0.518757,0.676736
Lunch_room,local3,0-2-16-21-22,0.361917,0.510552
Porch,local3,5-14-15-17-19,0.592310,0.735307
Cantina,local3,4-8-15-16-23,0.523422,0.678752
Garden,local3,5-7-8-18-24,0.531565,0.693765
Pots,local3,0-1-9-11-18,0.619104,0.761001
Printing_area,local3,8-12-14-15-24,0.657294,0.781054
Meeting_room,local3,12-16-19-21-23,0.556472,0.709245
Lounge,local3,0-1-4-13-23,0.575251,0.729947
Porch,local3,12-15-19-20-23,0.565365,0.706564
Cantina,local3,5-11-15-16-20,0.468720,0.626832
Lunch_room,local3,2-5-13-16-21,0.381144,0.532892
Garden,local3,1-3-5-14-18,0.517875,0.681738
Printing_area,local3,3-8-14-15-24,0.630962,0.764370
Pots,local3,1-7-11-13-21,0.642441,0.778752
Meeting_room,local3,12-13-16-20-23,0.545241,0.701033
Lounge,local3,0-14-18-19-23,0.579670,0.733500
Porch,local3,5-9-19-20-24,0.618217,0.759956
Cantina,local3,0-8-13-15-16,0.503384,0.657091
Garden,local3,1-5-7-15-18,0.536532,0.698102
Printing_area,local3,12-14-15-17-24,0.628464,0.759351
Pots,local3,4-7-9-11-15,0.650862,0.785867
Lunch_room,local3,2-16-18-21-22,0.353101,0.499593
Meeting_room,local3,1-12-16-19-23,0.472725,0.636259
Lounge,local3,0-7-13-23-24,0.570547,0.725802
Porch,local3,5-6-9-19-20,0.591221,0.740300
Cantina,local3,10-13-15-16-23,0.515612,0.672479
Garden,local3,0-1-3-4-18,0.485825,0.652769
Printing_area,local3,0-8-13-19-24,0.662737,0.786009
Pots,local3,9-11-12-21-23,0.624411,0.765129
Lunch_room,local3,3-16-20-22-23,0.343356,0.496192
Meeting_room,local3,11-12-14-16-19,0.537083,0.693442
Lounge,local3,0-3-8-20-24,0.588446,0.740510
Porch,local3,5-9-12-16-20,0.612290,0.748814
Cantina,local3,3-8-13-15-16,0.508838,0.665374
Garden,local3,4-5-7-14-20,0.503087,0.669040
Printing_area,local3,0-5-6-13-19,0.583294,0.726306
Pots,local3,7-9-11-15-21,0.637048,0.775582
Meeting_room,restart3,3-8-17-21-23,0.524184,0.682466
Lunch_room,local3,2-7-8-16-22,0.331775,0.477054
Lounge,local3,0-3-12-23-24,0.586193,0.738696
Porch,local3,9-12-16-19-20,0.590431,0.729348
Cantina,local3,6-7-8-12-15,0.413705,0.562682
Garden,restart3,10-12-16-18-21,0.529171,0.691430
Printing_area,local3,1-2-4-13-19,0.525862,0.671580
Pots,local3,7-9-11-19-21,0.614572,0.757584
Meeting_room,local3,0-3-8-21-23,0.534522,0.693086
Porch,local3,5-7-19-20-22,0.364574,0.524121
Lunch_room,local3,5-11-16-21-22,0.345921,0.493982
Lounge,local3,0-3-13-15-19,0.581699,0.735155
Cantina,local3,1-13-16-17-23,0.470131,0.632618
Garden,local3,10-12-16-21-22,0.516313,0.680133
Printing_area,local3,8-15-20-21-24,0.627568,0.758549
Pots,local3,2-9-11-17-20,0.621409,0.763779
Meeting_room,local3,0-2-14-21-23,0.479292,0.645594
Porch,local3,5-9-17-18-19,0.595038,0.736567
Lounge,local3,0-3-7-13-24,0.580142,0.733824
Cantina,local3,13-14-15-18-23,0.456293,0.613154
Lunch_room,local3,1-5-15-16-22,0.396645,0.543829
Garden,local3,3-12-16-18-20,0.491957,0.658850
Meeting_room,local3,3-8-9-21-23,0.526988,0.684746
Printing_area,local3,0-7-8-13-19,0.588466,0.729578
Pots,local3,1-9-11-21-24,0.637516,0.774547
Lounge,local3,3-7-11-16-24,0.527004,0.687352
Porch,local3,5-12-20-21-23,0.483751,0.638290
Cantina,local3,2-9-13-14-15,0.486010,0.640372
Lunch_room,local3,7-13-15-16-22,0.256541,0.385361
Garden,local3,4-6-10-12-13,0.530368,0.692488
Meeting_room,local3,0-3-8-21-22,0.534007,0.692653
Printing_area,local3,0-5-8-19-24,0.616345,0.752156
Pots,local3,9-11-12-13-21,0.624414,0.765584
Lounge,local3,3-7-11-23-24,0.554031,0.711656
Porch,local3,5-9-11-12-19,0.613748,0.749681
Cantina,local3,8-13-15-17-23,0.522976,0.673413
