scene,phase,combo,miou_query,f1_query
Lounge,local3,0-11-14-18-19,0.531448,0.691516
Pots,local3,1-9-11-20-24,0.600569,0.746435
Lunch_room,local3,1-5-6-7-11,0.404651,0.553237
Garden,local3,5-14-15-16-21,0.503483,0.668894
Porch,local3,3-9-14-19-24,0.494174,0.643001
Playground,local3,2-6-12-14-18,0.362739,0.510709
Meeting_room,local3,4-7-9-16-22,0.514449,0.672504
Lounge,local3,2-5-11-14-19,0.470402,0.635722
Cantina,local3,5-12-13-14-22,0.399854,0.554546
Pots,local3,1-3-9-17-20,0.592995,0.737850
Lunch_room,local3,1-3-5-6-16,0.395394,0.546946
Porch,local3,2-7-14-18-24,0.487712,0.646001
Garden,local3,3-5-8-14-16,0.475926,0.643956
Playground,local3,2-11-14-18-21,0.343461,0.492177
Meeting_room,local3,1-4-8-16-22,0.497009,0.658789
Lounge,local3,0-14-18-19-21,0.497585,0.662604
Cantina,local3,1-11-13-16-18,0.495922,0.653782
Pots,local3,9-14-15-20-22,0.575543,0.727770
Porch,local3,9-10-14-19-24,0.500767,0.647740
Lunch_room,local3,1-2-5-11-19,0.348245,0.501421
Meeting_room,local3,6-8-16-18-22,0.443846,0.609622
Playground,local3,0-2-12-14-16,0.428521,0.587743
Garden,local3,5-8-14-15-21,0.507281,0.672425
Cantina,local3,10-13-14-16-18,0.505969,0.661258
Lounge,local3,0-1-14-18-19,0.512078,0.674584
Pots,local3,9-17-18-20-24,0.590077,0.739452
Porch,local3,1-4-9-19-24,0.561694,0.711133
Meeting_room,local3,4-8-9-13-16,0.497424,0.655263
Lunch_room,local3,1-6-7-23-24,0.359551,0.503874
Playground,local3,14-15-16-18-24,0.228071,0.364471
Garden,local3,5-8-10-14-16,0.524002,0.686803
Cantina,local3,9-10-13-18-19,0.464286,0.612792
Lounge,local3,0-3-11-14-19,0.526923,0.687676
Pots,local3,1-9-17-19-24,0.607808,0.752274
Porch,local3,9-14-15-19-24,0.505934,0.652394
Meeting_room,local3,6-8-17-22-23,0.457965,0.623738
Playground,local3,0-2-8-11-18,0.440581,0.595807
Garden,local3,5-10-14-16-19,0.533307,0.694689
Cantina,local3,1-3-9-13-18,0.506616,0.663161
Pots,local3,1-3-6-17-24,0.586023,0.731923
Lounge,local3,0-11-14-18-23,0.516945,0.679428
Lunch_room,local3,1-3-5-11-16,0.396635,0.553942
Meeting_room,local3,4-9-10-16-22,0.518834,0.676364
Porch,restart3,0-1-3-5-18,0.496014,0.655266
Playground,local3,2-7-11-15-18,0.343102,0.484271
Garden,local3,1-5-10-14-19,0.509490,0.674003
Cantina,local3,0-3-8-12-14,0.483492,0.643045
Pots,local3,1-6-9-17-19,0.574456,0.726722
Lounge,local3,9-11-17-19-20,0.482449,0.648482
Meeting_room,local3,2-3-4-9-16,0.518635,0.677634
Porch,local3,0-1-3-14-20,0.486010,0.643672
Lunch_room,local3,5-6-7-11-18,0.338275,0.484329
Playground,local3,2-4-14-18-19,0.357219,0.507932
Garden,local3,3-9-10-16-19,0.477147,0.645371
Cantina,local3,3-10-14-17-18,0.523426,0.679209
Pots,local3,5-9-17-19-24,0.588250,0.737664
Lounge,local3,8-11-14-19-20,0.510306,0.673069
Meeting_room,local3,4-5-8-9-22,0.498206,0.658187
Porch,local3,0-3-12-16-18,0.436129,0.601583
Playground,local3,0-2-11-16-17,0.439021,0.595504
Cantina,local3,0-3-9-10-23,0.503078,0.660204
Lunch_room,local3,3-5-11-15-16,0.357898,0.507517
Pots,local3,1-3-4-5-24,0.578212,0.724471
Garden,local3,5-6-10-16-19,0.531929,0.693423
Meeting_room,local3,4-7-8-10-23,0.488809,0.647829
Lounge,local3,0-14-18-19-20,0.518019,0.680203
Porch,local3,0-1-3-5-13,0.470913,0.632865
Playground,local3,1-2-11-15-18,0.422962,0.582339
Cantina,local3,0-3-10-13-14,0.460475,0.621163
Pots,local3,1-9-17-19-20,0.601261,0.747333
Lunch_room,local3,5-6-10-17-24,0.366808,0.513762
Garden,local3,5-10-14-16-21,0.525943,0.688339
Meeting_room,local3,4-7-8-9-24,0.503148,0.662078
Lounge,local3,6-7-8-11-18,0.497879,0.662421
Porch,local3,2-3-5-6-13,0.501809,0.660951
Cantina,local3,3-8-10-14-18,0.503719,0.659557
Playground,local3,0-2-11-15-22,0.437113,0.594990
Pots,local3,1-2-9-19-24,0.578119,0.728297
Meeting_room,local3,8-9-16-17-22,0.468605,0.631452
